id,start_time,origin,destination,kind,origin_real_id,dest_real_id,origin_x,origin_y,dest_x,dest_y,cluster
0,5,0,0,Human,315358244,-25149001#4,212975.4675,453432.9725,212672.595,451274.97,2
1,5,1,1,Human,10425609#0,-128361102#1,213091.635,451303.575,211388.46,451952.25,2
2,11,2,2,Human,24608844,32978638#0,213600.045,452309.8,213633.66,451984.92,2
3,11,0,3,Human,315358244,386687235,212975.4675,453432.9725,213478.36,452435.42,2
4,11,3,3,Human,315358250#0,386687235,213010.6175,453383.065,213478.36,452435.42,2
5,12,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,2
6,13,4,4,Human,-306240162#1,399835085#1,211638.505,452888.985,212001.44,453157.175,2
7,15,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,2
8,17,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,2
9,25,5,2,Human,201201950#1,32978638#0,212938.88,452449.41,213633.66,451984.92,2
10,26,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,2
11,28,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,2
12,30,0,3,Human,315358244,386687235,212975.4675,453432.9725,213478.36,452435.42,2
13,31,6,5,Human,201201953#4,-266565295#5,212565.76,452330.09,213811.85,452244.51,2
14,33,1,1,Human,10425609#0,-128361102#1,213091.635,451303.575,211388.46,451952.25,2
15,37,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,2
16,39,7,6,Human,272042143,24634414#1,213484.675,452457.545,213210.56,452282.365,2
17,55,8,7,Human,266565295#5,-24634415,213807.23,452252.93,213265.68,452105.8000000001,2
18,56,9,8,Human,22716069#0,24634517#13,212648.485,451697.03,212403.965,451889.175,2
19,57,8,9,Human,266565295#5,201238729#3,213807.23,452252.93,211438.31,452110.43,2
20,57,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,2
21,58,10,5,Human,24634507,-266565295#5,212909.515,451808.915,213811.85,452244.51,2
22,60,11,4,Human,128361109#1,399835085#1,211442.47,452097.55,212001.44,453157.175,2
23,61,7,9,Human,272042143,201238729#3,213484.675,452457.545,211438.31,452110.43,2
24,69,12,10,Human,315358242#0,306240162#0,213272.11,452897.16,211642.94,452890.83,2
25,72,11,3,Human,128361109#1,386687235,211442.47,452097.55,213478.36,452435.42,2
26,72,13,11,Human,-447569998#1,-26677539,213434.54,453008.69,213132.695,453002.015,2
27,73,11,3,Human,128361109#1,386687235,211442.47,452097.55,213478.36,452435.42,2
28,75,11,3,Human,128361109#1,386687235,211442.47,452097.55,213478.36,452435.42,2
29,77,11,2,Human,128361109#1,32978638#0,211442.47,452097.55,213633.66,451984.92,2
30,77,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,2
31,79,11,3,Human,128361109#1,386687235,211442.47,452097.55,213478.36,452435.42,2
32,80,0,12,Human,315358244,447569997#1,212975.4675,453432.9725,213435.6,452999.15,2
33,81,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,2
34,82,13,4,Human,-447569998#1,399835085#1,213434.54,453008.69,212001.44,453157.175,2
35,82,14,3,Human,-54169231#2,386687235,212973.835,452759.09,213478.36,452435.42,2
36,82,11,3,Human,128361109#1,386687235,211442.47,452097.55,213478.36,452435.42,2
37,82,0,2,Human,315358244,32978638#0,212975.4675,453432.9725,213633.66,451984.92,2
38,83,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,2
39,86,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,2
40,88,0,3,Human,315358244,386687235,212975.4675,453432.9725,213478.36,452435.42,2
41,89,11,3,Human,128361109#1,386687235,211442.47,452097.55,213478.36,452435.42,2
42,91,11,3,Human,128361109#1,386687235,211442.47,452097.55,213478.36,452435.42,2
43,92,11,2,Human,128361109#1,32978638#0,211442.47,452097.55,213633.66,451984.92,2
44,93,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,2
45,94,11,3,Human,128361109#1,386687235,211442.47,452097.55,213478.36,452435.42,2
46,96,11,13,Human,128361109#1,40888354#0,211442.47,452097.55,213168.415,452820.44,2
47,101,15,1,Human,-10427692#1,-128361102#1,211769.91,451851.51,211388.46,451952.25,2
48,101,4,4,Human,-306240162#1,399835085#1,211638.505,452888.985,212001.44,453157.175,2
49,105,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,2
50,106,16,5,Human,-32978638#0,-266565295#5,213640.75,451987.935,213811.85,452244.51,2
51,109,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,2
52,112,0,12,Human,315358244,447569997#1,212975.4675,453432.9725,213435.6,452999.15,2
53,119,17,5,Human,-18809673#6,-266565295#5,211318.32,451074.855,213811.85,452244.51,2
54,125,7,10,Human,272042143,306240162#0,213484.675,452457.545,211642.94,452890.83,2
55,127,18,2,Human,201950247#3,32978638#0,213070.49,452706.715,213633.66,451984.92,2
56,128,7,4,Human,272042143,399835085#1,213484.675,452457.545,212001.44,453157.175,2
57,129,1,1,Human,10425609#0,-128361102#1,213091.635,451303.575,211388.46,451952.25,2
58,131,7,10,Human,272042143,306240162#0,213484.675,452457.545,211642.94,452890.83,2
59,132,1,1,Human,10425609#0,-128361102#1,213091.635,451303.575,211388.46,451952.25,2
60,133,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,2
61,134,1,1,Human,10425609#0,-128361102#1,213091.635,451303.575,211388.46,451952.25,2
62,135,16,5,Human,-32978638#0,-266565295#5,213640.75,451987.935,213811.85,452244.51,2
63,136,7,10,Human,272042143,306240162#0,213484.675,452457.545,211642.94,452890.83,2
64,136,1,1,Human,10425609#0,-128361102#1,213091.635,451303.575,211388.46,451952.25,2
65,139,7,9,Human,272042143,201238729#3,213484.675,452457.545,211438.31,452110.43,2
66,140,19,12,Human,-26677542#0,447569997#1,212861.46,453069.875,213435.6,452999.15,2
67,141,20,3,Human,26677213#0,386687235,212783.0,452608.015,213478.36,452435.42,2
68,141,7,4,Human,272042143,399835085#1,213484.675,452457.545,212001.44,453157.175,2
69,142,8,9,Human,266565295#5,201238729#3,213807.23,452252.93,211438.31,452110.43,2
70,149,13,14,Human,-447569998#1,315358242#0,213434.54,453008.69,213322.49,452739.76,10
71,149,8,9,Human,266565295#5,201238729#3,213807.23,452252.93,211438.31,452110.43,10
72,150,8,15,Human,266565295#5,-24634506#2,213807.23,452252.93,212923.875,452069.915,10
73,152,4,16,Human,-306240162#1,30482615#1,211638.505,452888.985,212028.14,450765.2,10
74,154,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,10
