id,start_time,origin,destination,kind,origin_real_id,dest_real_id,origin_x,origin_y,dest_x,dest_y
6,13,4,4,Human,-306240162#1,399835085#1,211638.505,452888.985,212001.44,453157.175
8,17,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42
9,25,5,2,Human,201201950#1,32978638#0,212938.88,452449.41,213633.66,451984.92
22,60,11,4,Human,128361109#1,399835085#1,211442.47,452097.55,212001.44,453157.175
25,72,11,3,Human,128361109#1,386687235,211442.47,452097.55,213478.36,452435.42
26,72,13,11,Human,-447569998#1,-26677539,213434.54,453008.69,213132.695,453002.015
30,77,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42
31,79,11,3,Human,128361109#1,386687235,211442.47,452097.55,213478.36,452435.42
32,80,0,12,Human,315358244,447569997#1,212975.4675,453432.9725,213435.6,452999.15
36,82,11,3,Human,128361109#1,386687235,211442.47,452097.55,213478.36,452435.42
45,94,11,3,Human,128361109#1,386687235,211442.47,452097.55,213478.36,452435.42
49,105,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42
52,112,0,12,Human,315358244,447569997#1,212975.4675,453432.9725,213435.6,452999.15
53,119,17,5,Human,-18809673#6,-266565295#5,211318.32,451074.855,213811.85,452244.51
54,125,7,10,Human,272042143,306240162#0,213484.675,452457.545,211642.94,452890.83
55,127,18,2,Human,201950247#3,32978638#0,213070.49,452706.715,213633.66,451984.92
57,129,1,1,Human,10425609#0,-128361102#1,213091.635,451303.575,211388.46,451952.25
58,131,7,10,Human,272042143,306240162#0,213484.675,452457.545,211642.94,452890.83
61,134,1,1,Human,10425609#0,-128361102#1,213091.635,451303.575,211388.46,451952.25
64,136,1,1,Human,10425609#0,-128361102#1,213091.635,451303.575,211388.46,451952.25
65,139,7,9,Human,272042143,201238729#3,213484.675,452457.545,211438.31,452110.43
69,142,8,9,Human,266565295#5,201238729#3,213807.23,452252.93,211438.31,452110.43
71,149,8,9,Human,266565295#5,201238729#3,213807.23,452252.93,211438.31,452110.43
73,152,4,16,Human,-306240162#1,30482615#1,211638.505,452888.985,212028.14,450765.2
77,158,21,17,Human,24599188#0.94,-10427692#3,213342.76,451641.085,211783.375,451881.39
78,160,22,9,Human,176550249#3,201238729#3,212398.57,452249.84,211438.31,452110.43
79,160,4,18,Human,-306240162#1,24634510#6,211638.505,452888.985,212342.785,452084.485
82,167,23,2,Human,-24634413#2,32978638#0,213167.66,452053.11,213633.66,451984.92
83,169,11,3,Human,128361109#1,386687235,211442.47,452097.55,213478.36,452435.42
87,178,11,3,Human,128361109#1,386687235,211442.47,452097.55,213478.36,452435.42
91,181,0,2,Human,315358244,32978638#0,212975.4675,453432.9725,213633.66,451984.92
93,186,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42
94,188,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42
95,189,24,19,Human,-160314345#5,-24634505,213480.015,452304.825,212865.605,452150.26
101,197,25,10,Human,24634517#1,306240162#0,212025.5,451709.68000000005,211642.94,452890.83
102,199,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42
103,201,0,3,Human,315358244,386687235,212975.4675,453432.9725,213478.36,452435.42
104,203,0,12,Human,315358244,447569997#1,212975.4675,453432.9725,213435.6,452999.15
105,204,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42
106,204,17,3,Human,-18809673#6,386687235,211318.32,451074.855,213478.36,452435.42
108,213,4,20,Human,-306240162#1,272042145,211638.505,452888.985,213478.39,452442.76
109,220,1,10,Human,10425609#0,306240162#0,213091.635,451303.575,211642.94,452890.83
110,221,4,20,Human,-306240162#1,272042145,211638.505,452888.985,213478.39,452442.76
111,221,26,3,Human,201238726#0.117,386687235,211898.18,452192.0825,213478.36,452435.42
112,223,7,9,Human,272042143,201238729#3,213484.675,452457.545,211438.31,452110.43
113,225,7,4,Human,272042143,399835085#1,213484.675,452457.545,212001.44,453157.175
114,226,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42
115,226,7,10,Human,272042143,306240162#0,213484.675,452457.545,211642.94,452890.83
116,228,7,9,Human,272042143,201238729#3,213484.675,452457.545,211438.31,452110.43
117,229,17,3,Human,-18809673#6,386687235,211318.32,451074.855,213478.36,452435.42
118,230,7,4,Human,272042143,399835085#1,213484.675,452457.545,212001.44,453157.175
124,236,7,10,Human,272042143,306240162#0,213484.675,452457.545,211642.94,452890.83
125,238,7,9,Human,272042143,201238729#3,213484.675,452457.545,211438.31,452110.43
128,245,16,10,Human,-32978638#0,306240162#0,213640.75,451987.935,211642.94,452890.83
130,245,17,22,Human,-18809673#6,-83304175#2,211318.32,451074.855,213340.28,451635.835
131,246,16,10,Human,-32978638#0,306240162#0,213640.75,451987.935,211642.94,452890.83
132,248,11,3,Human,128361109#1,386687235,211442.47,452097.55,213478.36,452435.42
140,265,4,24,Human,-306240162#1,201238718#0,211638.505,452888.985,212879.05,452356.22
141,267,11,3,Human,128361109#1,386687235,211442.47,452097.55,213478.36,452435.42
142,267,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42
146,271,11,26,Human,128361109#1,24634509#1,211442.47,452097.55,212852.71,452044.03
147,272,11,3,Human,128361109#1,386687235,211442.47,452097.55,213478.36,452435.42
149,281,1,1,Human,10425609#0,-128361102#1,213091.635,451303.575,211388.46,451952.25
152,286,16,12,Human,-32978638#0,447569997#1,213640.75,451987.935,213435.6,452999.15
153,288,16,27,Human,-32978638#0,-315358242#1,213640.75,451987.935,213331.87,452741.83
156,292,8,9,Human,266565295#5,201238729#3,213807.23,452252.93,211438.31,452110.43
157,292,4,29,Human,-306240162#1,402600768#1,211638.505,452888.985,213484.76,452070.75
161,296,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42
164,301,11,3,Human,128361109#1,386687235,211442.47,452097.55,213478.36,452435.42
165,305,16,30,Human,-32978638#0,28319300#3,213640.75,451987.935,212239.235,452458.24
166,305,17,5,Human,-18809673#6,-266565295#5,211318.32,451074.855,213811.85,452244.51
171,317,0,3,Human,315358244,386687235,212975.4675,453432.9725,213478.36,452435.42
172,320,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42
173,320,0,3,Human,315358244,386687235,212975.4675,453432.9725,213478.36,452435.42
178,326,8,9,Human,266565295#5,201238729#3,213807.23,452252.93,211438.31,452110.43
179,329,34,10,Human,-315358257#0.26,306240162#0,212259.43,452900.09,211642.94,452890.83
180,329,8,9,Human,266565295#5,201238729#3,213807.23,452252.93,211438.31,452110.43
185,335,16,12,Human,-32978638#0,447569997#1,213640.75,451987.935,213435.6,452999.15
187,336,11,3,Human,128361109#1,386687235,211442.47,452097.55,213478.36,452435.42
