id,origin,destination,start_time,kind,origin_real_id,dest_real_id,origin_x,origin_y,dest_x,dest_y,vec_x,vec_y,cluster
0,0,0,590,Human,156460680#1,-243836884#5,4178.88,3290.6,3452.5,1409.57,-726.3800000000001,-1881.03,6
1,1,1,566,Human,-165171783#1,37052930,3548.82,1309.9,3560.97,3019.52,12.149999999999636,1709.62,1
2,2,2,574,Human,-1339478328#0,-156460683#5,3240.16,2736.36,3501.02,3995.22,260.8600000000001,1258.8599999999997,3
3,3,3,653,Human,-1119245057#1,-153730010#2,4123.04,3588.62,4571.17,2348.21,448.1300000000001,-1240.4099999999999,0
4,4,3,1243,Human,37050051,-153730010#2,4277.06,2950.92,4571.17,2348.21,294.1099999999997,-602.71,0
5,5,4,1037,Human,-153730016#1,-394443151#2,4398.34,2207.95,3249.2,1483.56,-1149.1400000000003,-724.3899999999999,1
6,6,5,43,Human,-859784039#0,-1119245060#0,4354.56,3187.94,4071.46,3446.76,-283.10000000000036,258.82000000000016,0
7,7,6,1700,Human,36936590#6,319058646#1,3624.39,1709.24,3690.37,1172.16,65.98000000000002,-537.0799999999999,6
8,8,7,1630,Human,1119245067,-36293459#7,4203.72,2952.09,3939.74,3470.65,-263.9800000000005,518.56,0
9,9,8,1688,Human,1239117013#2,-165171783#1,3751.5,1890.18,3548.82,1310.1,-202.67999999999984,-580.0800000000002,1
10,10,2,142,Human,918716574#2,-156460683#5,3741.68,2928.73,3501.02,3995.22,-240.65999999999985,1066.4899999999998,0
11,11,9,1149,Human,-156460681#1,-37055563#1,3435.94,3678.04,4394.98,3323.85,959.0399999999995,-354.19000000000005,4
12,12,2,1545,Human,-36294081#1,-156460683#5,4177.48,3912.82,3501.02,3995.22,-676.4599999999996,82.39999999999964,0
13,13,10,1617,Human,-36950506#3,187827276,4627.4,2662.56,3101.9,3184.81,-1525.4999999999995,522.25,6
14,14,11,383,Human,-37052381#2,-35802097#3,4022.08,3450.3,2893.35,2751.33,-1128.73,-698.9700000000003,6
15,15,4,601,Human,-319058611,-394443151#2,4593.63,2654.61,3249.2,1483.56,-1344.4300000000003,-1171.0500000000002,6
16,6,12,399,Human,-859784039#0,36936373#3,4354.56,3187.94,3899.86,2469.32,-454.7000000000003,-718.6199999999999,6
17,16,13,350,Human,-153730010#1,165172163,4569.09,2341.21,3660.57,1291.97,-908.52,-1049.24,1
18,17,3,950,Human,165172163,-153730010#2,3693.96,1281.54,4571.17,2348.21,877.21,1066.67,1
19,18,14,1199,Human,-37055563#1,-698026762,4516.98,3642.19,4914.44,2707.08,397.46000000000004,-935.1100000000001,0
20,15,15,614,Human,-319058611,1239117012#2,4593.63,2654.61,3775.18,1918.55,-818.4500000000003,-736.0600000000002,1
21,19,16,339,Human,-36294081#2,-156460683#0,4177.51,3921.11,3345.56,4371.28,-831.9500000000003,450.1699999999996,0
22,20,17,112,Human,1119245066#1,-243836890#2,4525.96,2898.81,3355.18,2250.13,-1170.7800000000002,-648.6799999999998,6
23,21,18,492,Human,36936396#2,319058644,4104.91,2765.61,4321.64,2344.8,216.73000000000047,-420.80999999999995,0
24,22,19,1392,Human,319058644,36936396#2,4323.02,2338.06,4116.1,2758.65,-206.92000000000007,420.59000000000015,0
25,23,20,531,Human,269702544,-37052381#1,3722.7,2378.13,4006.0,3356.52,283.3000000000002,978.3899999999999,6
26,24,2,1667,Human,-153730015#3,-156460683#5,4374.92,1827.81,3501.02,3995.22,-873.9000000000001,2167.41,6
27,15,14,736,Human,-319058611,-698026762,4593.63,2654.61,4914.44,2707.08,320.8099999999995,52.4699999999998,0
28,6,14,1792,Human,-859784039#0,-698026762,4354.56,3187.94,4914.44,2707.08,559.8799999999992,-480.8600000000001,0
29,25,21,1325,Human,-37052381#0,-153730008#2,4003.63,3347.38,4252.09,1972.34,248.46000000000004,-1375.0400000000002,0
30,26,22,1252,Human,319058608#0,36950506#0,4389.91,2616.46,4828.98,2712.21,439.0699999999997,95.75,0
31,27,6,452,Human,-698026762,319058646#1,4914.63,2707.01,3690.37,1172.16,-1224.2600000000002,-1534.8500000000001,6
32,28,23,220,Human,-156460683#0,1119245060#2,3402.48,4301.31,4141.22,3411.37,738.7400000000002,-889.9400000000005,4
33,29,24,175,Human,-36934835#0,319058646#0,3634.66,2775.7,3706.78,1230.65,72.12000000000035,-1545.0499999999997,4
34,30,25,1140,Human,-153730939#1,-610135148#1,4190.23,2632.93,4592.1,1524.14,401.8700000000008,-1108.7899999999997,0
35,31,26,308,Human,-319058589#1,39820659#3,4593.5,2996.35,4625.2,2629.65,31.699999999999818,-366.6999999999998,0
36,32,3,1776,Human,-153730018,-153730010#2,4227.83,1859.78,4571.17,2348.21,343.34000000000015,488.43000000000006,6
