episode,instability_humans,instability_CAVs,avg_time_lost,time_excess
205,134,88,25.62,
210,0,7,25.43,
215,0,8,25.450000000000003,
220,0,8,25.62,
225,0,6,25.72,
230,0,11,25.78,
235,0,10,25.36,
240,0,13,25.69,
245,0,8,25.65,
250,0,7,25.49,
255,0,7,25.619999999999997,
260,0,5,25.42,
265,0,8,25.58,
270,0,28,25.259999999999998,
275,0,5,25.34,
280,0,9,25.349999999999998,
285,0,8,25.630000000000003,
290,0,10,25.34,
295,0,7,25.150000000000002,
300,0,4,25.23,
305,0,5,25.36,
310,0,6,25.22,
315,0,5,25.25,
320,0,10,25.220000000000002,
325,0,7,25.400000000000002,
330,0,9,25.18,
335,0,6,25.099999999999998,
340,0,4,25.4,
345,0,6,25.28,
350,0,7,25.09,
355,0,7,25.23,
360,0,7,25.11,
365,0,5,25.24,
370,0,6,25.13,
375,0,7,25.2,
380,0,9,25.13,
385,0,9,25.19,
390,0,7,25.13,
395,0,10,25.220000000000002,
400,0,4,25.05,
405,0,9,25.46,
410,0,6,25.11,
415,0,5,25.14,
420,0,6,25.11,
425,0,10,25.25,
430,0,7,25.139999999999997,
435,0,5,25.2,
440,0,4,25.03,
445,0,8,25.200000000000003,
450,0,10,25.419999999999998,
455,0,8,25.09,
460,0,6,25.44,
465,0,6,25.25,
470,0,4,24.95,
475,0,4,25.25,
480,0,4,25.14,
485,0,6,25.200000000000003,
490,0,4,25.220000000000002,
495,0,6,25.349999999999998,
500,0,7,25.02,
505,0,9,25.17,
510,0,2,25.1,
515,0,3,25.19,
520,0,4,25.1,
525,0,5,25.009999999999998,
530,0,3,25.05,
535,0,3,25.009999999999998,
540,0,4,25.14,
545,0,5,24.97,
550,0,4,25.09,
555,0,4,25.16,
560,0,4,25.05,
565,0,2,24.919999999999998,
570,0,4,25.0,
575,0,4,25.0,
580,0,5,25.15,
585,0,3,25.2,
590,0,2,24.99,
595,0,0,24.99,
600,0,1,24.939999999999998,
605,0,1,25.060000000000002,
610,0,1,24.939999999999998,
615,0,1,24.99,
620,0,1,25.03,
625,0,2,24.99,
630,0,2,24.99,
635,0,0,24.99,
640,0,2,25.01,
645,0,1,24.939999999999998,
650,0,0,24.939999999999998,
655,0,2,25.080000000000002,
660,0,3,25.01,
665,0,1,24.97,
670,0,2,24.939999999999998,
675,0,2,25.060000000000002,
680,0,3,24.91,
685,0,2,25.060000000000002,
690,0,3,25.03,
695,0,2,24.939999999999998,
700,0,0,24.939999999999998,
705,0,1,25.01,
710,0,2,25.0,
715,0,3,24.91,
720,0,1,24.939999999999998,
725,0,0,24.939999999999998,
730,0,0,24.939999999999998,
735,0,1,24.91,
740,0,1,24.939999999999998,
745,0,2,25.04,
750,0,2,24.939999999999998,
755,0,0,24.939999999999998,
760,0,0,24.939999999999998,
765,0,1,25.060000000000002,
770,0,1,24.939999999999998,
775,0,1,25.03,
780,0,2,25.060000000000002,
785,0,2,24.9,
790,0,1,24.939999999999998,
