episode,instability_humans,instability_CAVs,avg_time_lost,time_excess
105,621,414,93.27000000000001,
110,0,27,94.69999999999999,
115,0,18,94.12,
120,0,27,92.81,
125,0,23,93.47999999999999,
130,0,21,95.62,
135,0,101,93.79,
140,0,27,92.50999999999999,
145,0,35,121.03,
150,0,24,92.63,
155,0,35,92.93,
160,0,35,92.58999999999999,
165,0,47,92.53,
170,0,37,92.85,
175,0,27,92.74000000000001,
180,0,29,92.22,
185,0,22,92.79,
190,0,26,92.78,
195,0,23,92.87,
200,0,27,94.06,
205,0,15,92.67,
210,0,0,92.67,
215,0,0,92.67,
220,0,0,92.67,
